Unnamed: 0,번호,제목,저자,출판사,출판일
,1,"Guest Editorial: Big Media Data: Understanding, Search, and Mining (Part 2)","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2015
,2,Guest Editorial: Big Scholar Data Discovery and Collaboration,"Lin, Y.; Tong, H.; Tang, J.; Candan, K. S.",unknown,2016
,3,Guest Editorial: Big Data Analytics and the Web,"Sheng, M.; Vasilakos, A. V.; Yu, Q.; You, L.",unknown,2016
,4,Parallel computing for preserving privacy using k-anonymisation algorithms from big data,"Yaji, Sharath; Neelima, B.",Inderscience,2018
,5,NoSQL databases for big data,"Oussous, Ahmed; Benjelloun, Fatima-Zahra; Lahcen, Ayoub Ait; Belfkih, Samir",Inderscience,2017
,6,Computation migration: a new approach to execute big-data bioinformatics workflows,"Nunes, Rickey T. P.; Deshpande, Santosh L.",Inderscience,2018
,7,Towards a real-time big data analytics platform for health applications,"Chrimes, Dillon; Kuo, Mu-Hsing; Moa, Belaid; Hu, Wei",Inderscience,2017
,8,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,9,A five-layer architecture for big data processing and analytics,"Zhu, Julie Yixuan; Tang, Bo; Li, Victor O.K.",Inderscience,2019
,10,Towards Max-Min Fair Resource Allocation for Stream Big Data Analytics in Shared Clouds,"Jiang, Y.; Huang, Z.; Tsang, D. H.",unknown,2018
,11,Large-scale spectral clustering for managing big data in healthcare operations,"Liu, Maoqing; Fard, Nasser; Sadeghzadeh, Keivan",Inderscience,2017
,12,A Hierarchical Distributed Processing Framework for Big Image Data,"Dong, L.; Lin, Z.; Liang, Y.; He, L.; Zhang, N.; Chen, Q.; Cao, X.; Izquierdo, E.",unknown,2016
,13,A platform for big data analytics on distributed scale-out storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,14,Online Similarity Learning for Big Data with Overfitting,"Cong, Y.; Liu, J.; Fan, B.; Zeng, P.; Yu, H.; Luo, J.",unknown,2018
,15,Towards quality-of-service driven consistency for Big Data management,"García-Recuero, Álvaro; Esteves, Sérgio; Veiga, Luís",Inderscience,2014
,16,A platform for big data analytics on distributed scaleout storage system,"Aye, Kyar Nyo; Thein, Thandar",Inderscience,2015
,17,Current trends in predictive analytics of big data,"Wlodarczyk, Tomasz Wiktor; Hacker, Thomas J.",Inderscience,2014
,18,Classification and comparison of NoSQL big data models,"Sharma, Sugam; Tim, Udoyara Sunday; Gadia, Shashi; Wong, Johnny; Shandilya, Ritu; Peddoju, Sateesh K.",Inderscience,2015
,19,A survey on big data processing infrastructure: evolving role of FPGA,"Nunna, Krishna Chaitanya; Mehdipour, Farhad; Trouvé, Antoine; Murakami, Kazuaki J.",Inderscience,2015
,20,Fast approaches for semantic service composition in big data environment,"Huang, Jun; Zhou, Yide; Duan, Qiang; Xing, Cong-Cong",Inderscience,2019
,21,Secure multi-owner-based cloud computing scheme for big data,"Al-Shablan, Maram; Tian, Yuan; Al-Rodhaan, Mznah",Inderscience,2016
,22,Corporate governance fraud detection from annual reports using big data analytics,"Sadasivam, G. Sudha; Subrahmanyam, Mutyala; Himachalam, Dasaraju; Pinnamaneni, Bhanu Prasad; Lakshme, S. Maha",Inderscience,2016
,23,Fuzzy Based Scalable Clustering Algorithms for Handling Big Data Using Apache Spark,"Bharill, N.; Tiwari, A.; Malviya, A.",unknown,2016
,24,Privacy models for big data: a survey,"Victor, Nancy; Lopez, Daphne; Abawajy, Jemal H.",Inderscience,2016
,25,Towards quality-of-service driven consistency for Big Data management,"García-Recuero, Álvaro; Esteves, Sérgio; Veiga, Luís",Inderscience,2014
,26,A new approach for accurate distributed cluster analysis for Big Data: competitive K-Means,"Esteves, Rui Máximo; Hacker, Thomas; Rong, Chunming",Inderscience,2014
,27,PaloPro: a platform for knowledge extraction from big social data and the news,"Makrynioti, Nantia; Grivas, Andreas; Sardianos, Christos; Tsirakis, Nikos; Varlamis, Iraklis; Vassalos, Vasilis; Poulopoulos, Vassilis; Tsantilas, Panagiotis",Inderscience,2017
,28,2017 Index IEEE Transactions on Big Data Vol. 3,unknown,unknown,2018
,29,Hybridisation of classifiers for anomaly detection in big data,"Alguliyev, Rasim M.; Aliguliyev, Ramiz M.; Abdullayeva, Fargana Jabbar",Inderscience,2019
,30,Toward Efficient and Flexible Metadata Indexing of Big Data Systems,"Zhao, D.; Qiao, K.; Zhou, Z.; Li, T.; Lu, Z.; Xu, X.",unknown,2017
,31,Structural Balance Theory-Based E-Commerce Recommendation over Big Rating Data,"Qi, L.; Xu, X.; Zhang, X.; Dou, W.; Hu, C.; Zhou, Y.; Yu, J.",unknown,2018
