,title,description,title_label,description_label
0,결국  증세론  먼저 꺼내든  증세없는  기본소득  불가능 , 코로나 발 경제 위기 대응을 위해 돈 쓸 곳은 늘어났지만  국세 수입은 줄어들면서 정부의 재정 마련에 대한 우려가 컸다  이 때문에 한국개발원  등 국책연구기관들은 증세를 화두로 꺼내들었지만  정부 여당은 증세에  ,0,0
1,창녕군   창녕형 비대면 선별진료소 운영,  지난  일 창녕군보건소 앞에 설치한 선별진료소에서 검사자가 체온을 측정하고 있다 사진제공 창녕군청   코로나  장기화 대비 비대면 선별진료 도입 경남 창녕군은 지난  월  일 도내 최초로  코로나  선별진료소  ,0,0
2, 모바일  메인 홍보 모델로    설현  선정,한편   설현 은 최근  코로나  바이러스를 다룬     시리즈   세계적 유행 에서 다큐멘터리 내레이션에 처음 도전해 호평을 받았으며   의 새 드라마  낮과 밤  출연을 검토중이다  게임과 이벤트에 대한  ,0,0
3,김병민  기본소득도 필요하면 논의 테이블에 올려야   인터뷰 ,변화의 핵심 중에서는 우리 사회가 신종  코로나 바이러스 감염증 코로나 의 위기를 마주하고 있다  언제 끝이날 지 또 앞으로 어떠한 미래가 펼치질 지 모른다  국가가 나서서 국민의 어려움을 해결해 줘야 한다  저희  ,0,1
4,이재갑 장관  고용안정지원금 서울센터 방문, 이재갑 고용노동부 장관은 월 일 수 시에 코로나 긴급 고용안정지원금 서울 센터 서울 중구 를 방문했다  이번 현장 방문은 코로나 긴급 고용안정지원금 신청을 시작한 지 이틀 만에 약 만건  ,0,0
5, 부산행 반도 로 이어지는 한국형 좀비 세계관  칸의 선택 받았다,하지만 올해 신종  코로나 바이러스 감염증 코로나  여파로 오프라인 행사를 진행하지 않게 되었고  공식 채널   을 통해         명칭의 초청작 리스트를 공개했다  한편  반도 는  월 국내외  ,1,0
6, 년만 첫  불허 에도 홍콩  톈안문 추모 촛불,경찰은  코로나  감염이 우려된다며  명 이상을 모이는 집회를 봉쇄해왔고 지난 홍콩 국가보안법 시위 때도  하지만 홍콩 경찰은  코로나  확산을 막는다며 올해는 이를 불허했다  이런 상황은  년 만에 처음이다  주최  ,0,0
7,국내  대 항만  월 물동량  인천항만 상승곡선 ,전국 컨테이너 처리량  만  국내 항만은  월 들어 신종  코로나 바이러스 감염증 코로나  사태가 본격화되자 물동량이 줄어들며 부진에 허덕이고 있다  그 와중에 인천항은 중국 항만 정상화에 따라  ,1,0
8,경기도의회 농정해양위  농민기본소득 도입 이재명 지사와 집행부에 강력 촉구,한편   코로나 로 인한 해외의 식재료 사재기에서 보듯이 국민들의 먹거리를 안정적으로 생산하는 것은  포스트  코로나 의 주요과제로 부각되고 있어 농민기본소득 도입을 통해 안정적인 생산기반을 확충하는 것은  ,1,1
9,이용빈 원내부대표  코로나  대응 의료진 노동자 건강권 보장해야 ,이용빈 의원실 제공 이용빈 민주당 원내부대표가  일  코로나  상시화  장기화에 따라 생활방역 강화하고  없다 면서  코로나  현장을 지켰던 의료진의 열악한 근무환경  부당 처우  과중한 노동강도  인력부족 등의 문제가  ,1,0
