,title,title_label,description,description_label
0,김병민  기본소득도 필요하면 논의 테이블에 올려야   인터뷰 ,0,변화의 핵심 중에서는 우리 사회가 신종  코로나 바이러스 감염증 코로나 의 위기를 마주하고 있다  언제 끝이날 지 또 앞으로 어떠한 미래가 펼치질 지 모른다  국가가 나서서 국민의 어려움을 해결해 줘야 한다  저희  ,1
1,경기도의회 농정해양위  농민기본소득 도입 이재명 지사와 집행부에 강력 촉구,1,한편   코로나 로 인한 해외의 식재료 사재기에서 보듯이 국민들의 먹거리를 안정적으로 생산하는 것은  포스트  코로나 의 주요과제로 부각되고 있어 농민기본소득 도입을 통해 안정적인 생산기반을 확충하는 것은  ,1
2,당신이 아는 미술  시장이 아는 미술   한국 현대 미술 시장을 이끄는 작가,1,최근 갤러리 현대 창업  주년 기념전에 이 작품이 전시되자  코로나 의 영향에도 마스크를 착용한 관람객의  미술계 트렌드 그리고 한국 미술 시장 글 정태희 서울옥션 스페셜리스트 세계 경기 침체와  코로나  여파로  ,1
3,  상반기 신입 및 경력직 공채 시행,0, 코로나  감안해  차 면접  비대면 역량검사  도입 국내 최대 치킨 프랜차이즈인 제너시스 비비큐 회장    채용관계자는  는 한국을 대표하는 책임감 있는 브랜드로서  코로나 로 침체된 채용 분위기  ,1
4,미소짓는 의료진,1, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 폴 킴의 공연을 보고 있다   뉴스 ,1
5,휴넷  리더십 게임러닝 프로그램  아르고  출시,0,플립러닝은 온라인 학습 후 교실에서 토론 및 심화학습을 거쳐  거꾸로 교실 이라고도 불리며  포스트  코로나  시대 교육 방식으로 주목받고 있다  아르고 리더십 편은 다양한 상황에 따라 게임을 통해 리더십 유형을  ,1
6,광주 서구 양동  민 관 협력으로 주거환경 개선,1,특히 오래된 도배 장판 및 침대  장롱 등 가구 교체와 함께  코로나  예방을 위한 방역도 진행하는 등 쾌적한 주거환경 조성에 힘썼다  변미자 양동 동장은  어려운 이웃을 위해 봉사에 나서준 이들에게 감사하다 며  ,1
7,손흥민의 고백   주간의 군사훈련  힘들지만 즐겼다 ,1, 코로나  사태가 터진 가운데 병영생활을 한 손흥민의 경험은 영국에서 화제다  손흥민은  첫 날은 서로 잘 몰라서 서먹했지만 금방 친해졌다   명이서 한 방을 썼더니 정말 친해졌다  서로 돕고 호흡이 좋았다 고  ,1
8,   카타르  선 수주  문 대통령 경제외교 결실 ,1,청와대는  일  해외에서 낭보가 이어지고 있다 며  문재인 대통령이 포스트  코로나  시대 경제위기  이어  정상회담을 통해 양국 간 협력을 에너지 외에 의료    등으로 확장했고  최근 카타르에  코로나    관련  ,1
9, 유통 나누기 세상 더하기  세븐일레븐  유치원 통학차량에 공기청정기 설치 ,0,맥도날드는  코로나 로 방역 작업에 힘쓰고 있는 대구 지하철 청소 근로자에게 빅맥과 커피를 증정했다  패션업계도 나눔 활동에 동참한다  코오롱인더스트리 임직원들은 성과 포상금 중  만원을  코로나 로 어려움을  ,1
10,김포 혁신교육지구 사업  특수교육대상자를 위한 교육과정 지원,0,정하영 김포시장은  혁신교육지구 사업 내 특수교육 대상자를 위한 사업이 별도로 편성돼 소외되는 학생들이 줄었다 면서  코로나 로 인해 교육과정 운영이 쉽지 않을 것으로 판단되지만  학생들의 안전을 위한 방역과  ,1
11, 속보  군포시청  서울시  리치웨이   코로나  확진자 동선 공개  군포로 번길 ,0,군포시청  서울시  리치웨이   코로나  확진자 동선 공개  군포로 번길 거주 자료  군포시청  군포시청이 서울시  리치웨이   코로나  확진자의 동선을 공개했다   일 군포시청은 공식 블로그를 통해  서울시  ,1
12, 함양군 브리핑  명품 함양양파 특판  서울서 인기몰이 등,0,  명품 함양양파 특판전 모습   사진제공 함양군    함양군   일 롯데마트 서울역점 양파소비촉진 판촉행사   코로나 로 지친 농심 위로 함양군이  코로나  장기화에 따라 소비 위축 등 판매에 어려움을 겪고 있는  ,1
13, 이십세기  민아  룰라 때문에 다른 가수들 앨범 일정 미뤄 ,1,지난 주 방송된      이십세기 힛트송   회에서는  노래방 대리만족 방구석에서 즐기는 힛 트쏭  을 주제로   코로나 로 노래방 대신 집에서 흥을 폭발시켜줄 수 있는 과거 힛트송으로 시청자들의 무료함을 달랬다  ,1
14, 유플러스   분기 개인용   글라스  출시,0, 유플러스는  코로나 로 인한 언택트 시대에 맞춰  일 엔리얼과 올쇼 를 통해   글라스 온라인 애플리케이션 앱  개발 세미나를 개최한다    글라스를 활용  다양한   앱을 개발할 수 있는   생태계를 만들기  ,1
15,홈플러스   일까지  삼시육끼  기획전 진행,0,이창수 홈플러스 마케팅총괄이사는  고기는 굽고 치우는 과정이 번거로워 대표적인 외식 메뉴였지만  코로나  이후 대표적인 집밥 메뉴로 바뀌고 있다 며  삼시육끼 기획전을 비롯해 앞으로도 달라진  ,1
16,울릉군 신청사 건립 본격 착수   입지선정위원회  개최,0,김병수 울릉군수는  가용부지가 절대부족한 우리 울릉군 특성상 신청사 부지 선정은 우리 군 발전의 미래  년 대계를 결정할 매우 중요한 사안이다 며  코로나  등으로 다소 지연됐지만 울릉군 행정력과  ,1
17,   선  척 수주   방역 신뢰 결과물 ,0,청와대가  일 카타르  액화천연가스  운반선 수주를 지목해  코로나  사태 극복 과정에서 쌓인  방역에  특히 최근 카타르에  코로나  관련 진단장비 공급과  방역 경험 공유 등 양국 간 협력의 범위를 확대했다 고  ,1
18, 산업워치   월급  이제  로봇이 지급해요     자동급여이체 서비스 ,1,이밖에  유플러스는  코로나 로 인한 언택트 시대에 맞춰 엔리얼과 함께  글래스 온라인 앱 개발 세미나를 개최한다  오는  일 오전  시  분부터 한 시간 동안 올쇼 를 통해 실시간으로 참여할 수 있으며 해당  ,1
19, 코로나 안양서  리치웨이  방문자 등  명 확진,0,안양시는 서울 관악구  리치웨이  방문자 등  명이  코로나  양성 판정을 받았다고  일 밝혔다  확진자는 동안구 범계동 목련아파트에 거주하는 여성  씨와 안양  번 확진자의 가족인  동안구 관양 동 동편마을  ,1
20, 코로나  의료진  공연보며 힘내세요 ,1, 일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들이 가수 수안의 공연을 보고 있다   뉴스 ,1
21,    조직위  초고강도 방역으로 안전한 행사 다짐,0,행사를 주최하는 서울시치과의사회 이하 서울지부 는  코로나  관련 사회적 우려에 대한 심각성을    대회장인 김민겸 서울지부 회장은  지난  월 초  코로나 와 관련한 정부 지침이 생활방역으로 바뀌어  ,1
22,성남 판교동 건물 근무  대 남성  일  코로나  확진,1,경기 성남시 판교동의 한 건물에서 근무 중인  대 남성  씨가  일  코로나  양성 판정을 받았다  이 건물에는 학원이 있어 원생  명과 직원  명에 대해 시는 전수조사를 실시하기로 했다  이어 학원과 편의점  ,1
23,서울 아파트값  주만에 하락 보합 전환 큰 폭 조정 없다 ,0,함영진 직방 빅데이터랩장은  코로나 로 인한 시장의 충격이 거래량을 둔화시키고 있긴 하지만 가격이 큰 폭으로 조정되는 것을 기대하기는 제한적이라고 판단된다 고 밝혔다    함 랩장은  올해  만 가구에  ,1
24,울산의 힘 한국의 미래  울산경제자유구역 확정,1,포스트  코로나  시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 열다  울산시는  포스트  코로나  시대 극보을 위한 울산형 뉴딜사업 첫 번째 성과로 울산의 미래를 여는 새로운 발판을 마련했다는  ,1
25,전북도  농산시책평가 전국 위 시상금  천만원 전액 기부,1,송하진 도지사는  코로나  등 지역사회를 위해 공무원들이 앞장서서 착한 기부 릴레이를 하고 있다 며 특히  천년 전북의 미래 발전을 책임질 지역인재 양성을 위해 깊은 관심을 가지고 장학사업에 동참하는 것은  ,1
26,김포시  국내 최초 버스 스마트 발열체크기 도입,1,정하영 시장은  장기화 되고 있는  코로나 로부터 우리 스스로를 지키기 위해서는 생활 속 방역이 일상화 돼야 한다 며  이번 발열체크기 도입으로 시민들께서 더욱 안심하고 대중교통을 이용하실 수 있을 것 같다 고  ,1
27, 전문  남양주시청  번째 확진자 발생 동선공개 화도읍 마석우리 서희스타 ,1,남양주시청이  코로나   번째 확진자 발생을 알렸다  남양주시  번째 확진자는  세 여성으로 화도읍 마석우리 서희스타힐스아파트에 거주한다  남양주시청은 감염경로로 서대문구  번째 확진자의  ,1
28,평택시 새마을지도자 통복동협의회   년 방역발대식 개최,1,표광오 통복동장  코로나  확산의 위협이 사라지지 않은 상황에서 방역대원 모두 시민의 건강지킴이라는 자부심을 가지고 민 관이 굳건한 방역 협력체계를 구축하며 감염병 없는 건강한 통복동이 될 수 있도록 적극  ,1
29,적십자봉사회 호평지회  서로버팀목 후원금  만원 기탁,1,통해  코로나 로 갑작스런 어려움에 처한 취약계층을 위한 후원금  만원을 동부희망케어센터에 지정  김복순 적십자봉사회 호평지회장은  얼마 안 되는 금액이지만 회원들의 정성을 모았다 며 코로나 로 많은  ,1
30,서산시  외국전문음식점 아시안마트 특별단속,0,또한 원산지 표시 리플릿 및 원산지 표시판 배부와 식중독 예방수칙 및  코로나  예방 홍보활동도 병행할 예정이다  최교상 감사담당관은  이번 단속을 통해 양심이 사라진 행위와 원산지 및 식품위해 사고 예방에 최선을  ,1
31,화천군 보건의료원 음압 구급차량 구입,1,업코리아      화천군 보건의료원 음압 구급차량 구입  업코리아  화천군 보건의료원이 신속한  코로나  대응을 위해 음압 구급차량을 구입했다  화천군은  코로나  확진자 발생 시 신속히 이송할 수 있는 음압  ,1
32,영동소방서 학산 안전센터 구급대원 칭찬글  감동 ,0,임환호 소방교는  코로나 로 국민 모두가 힘든 시기에 소방공무원으로서 당연한 일이었는데 이렇게 칭찬해주셔서 정말 감사하다 며  앞으로도 더욱 더 신속하고 친절한 서비스로 국민의 생명과 안전을 위해 최선을  ,1
33,계룡시  여름철  폭염대응  종합대책 추진,0,특히 이번 폭염대응은  코로나  감염 예방 및 확산 방지를 위해 많은 사람이 모이거나 접촉가능성이 높은  행동요령과  코로나  감염예방을 위한 냉방기기 사용법 등을 홍보해 주민 건강과 안전 제고에 집중할 예정이다 ,1
34,무주군  공공산림가꾸기  두 마리 토끼  잡아,1,사업추진에 앞서 지난  월 산림바이오매스 수집단  명을 선발 완료하고 참여자를 대상으로  코로나  관련  산림녹지과 이상일 산림조성 팀장은  코로나 로 침체되어 있는 상황에서 이번 사업을 통해 사회적  ,1
35, 하이닉스  작년  사회적 가치  실적 부진 환경영향 최소화 노력 ,1, 코로나 와 같은 국가적 전염병 이슈나 자연재해에 대비하여 국민들의 안전과 생존을 지원하는 사회적 안전망도 지속 개발해 나간다는 계획이다  한편  하이닉스는 지난해 지역사회  고객  협력사  주주를 대상으로  ,1
36,평택시 바르게살기 세교동 위원회  현충일 맞아 태극기달기운동 전개,0,강경화 위원장은  월 호국영령의 달을 맞아 순국선열들을 기리는 가장 첫걸음은 태극기 게양이라 생각 한다 며  코로나 로 인해 외출이 어려운 만큼  태극기 게양을 통해 순국선열에 대한 감사한 마음을 되새기는 날이  ,1
37,무안군  개학 맞이  코로나  예방 캠페인 실시,1,내외뉴스통신    전남 무안군은 지난  일과  일 남악초등학교와 무안초등학교에서 개학맞이  코로나  있도록  코로나  예방수칙을 적극 홍보했다  이와 더불어 마스크 잘 쓰기  친구들과 떨어져 앉기  창문을 열어  ,1
38, 분에 끝내는 오늘의 축구 이슈   월  일 해축 브리핑,0,그날의 이슈를 정리해 한눈에 볼 수 있게 정리했다   코로나   토트넘  하세베  리버풀  베르너  외질 그래픽 황지영  사진 게티이미지코리아     포포투  무단 전재 및 재배포 금지,1
39,건강용품업체  리치웨이  관련 확진자 최소  명 대부분 어르신들 ,1,다단계식 건강용품 판매업체  리치웨이  관련  코로나  확진자가  일 오전까지 최소  명 파악됐다  지난  일 리치웨이에 다녀온 안산  번 환자는 다음날인 지난  일부터 두통과 인후통 등  코로나  의심 증상이  ,1
40,수안  지친 의료진들을 위한 노래 ,0,가수 수안이  일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들을 위해 공연을 펼치고 있다   뉴스 ,1
41,수안  지친 의료진들을 위한 노래 ,0,가수 수안이  일 오후 서울 중랑구 서울의료원에서 열린  서울의료원 잠시멈춤 콘서트 에서 신종  코로나 바이러스 감염증 코로나  환자 진료를 위해 수고해 온 의료진들을 위해 공연을 펼치고 있다   뉴스 ,1
